shot,method,category,pixel_ap,pixel_auroc,image_auroc,image_ap
4,C,bracket_brown,0.0284876142585248,0.9251645372427428,0.6304675716440422,0.738840929281884
4,C,bracket_white,0.04177940382943392,0.9929238743181971,0.7622222222222222,0.7258963151538405
4,C,connector,0.16636450881677345,0.9696396746234693,0.8285714285714286,0.7281930536986254
4,C,metal_plate,0.9425642721978167,0.990644029331812,1.0,1.0
4,C,tubes,0.5033104827470739,0.977324045163586,0.8890398550724637,0.9505372570544657
4,A1_J,bracket_black,0.18559149428133032,0.9740838470124177,0.7972074468085106,0.8699851276988307
4,A1_J,bracket_brown,0.033952103093274184,0.9060588741282166,0.5731523378582202,0.7250777918550068
4,A1_J,bracket_white,0.09536222826166875,0.9965490304092047,0.8244444444444444,0.7945923184318668
4,A1_J,connector,0.37503957266484705,0.975297297457135,0.8976190476190476,0.800256192220478
4,A1_J,metal_plate,0.8849814488088172,0.9796567608490621,1.0,1.0
4,A1_J,tubes,0.7550403564694391,0.9903581521894629,0.9633152173913043,0.9851831501360326
4,TRI_J,bracket_black,0.18591378992778515,0.9728498390701945,0.7799202127659575,0.8682690959547191
4,TRI_J,bracket_brown,0.03836663306952546,0.9176322806762108,0.5829562594268477,0.7325954121585071
4,TRI_J,bracket_white,0.10491556625583404,0.9965014350915455,0.8155555555555556,0.8094238008282693
4,TRI_J,connector,0.31028773291383455,0.9718279098188334,0.8333333333333334,0.6917680427463035
4,TRI_J,metal_plate,0.8863869883822727,0.9786380502618311,1.0,1.0
4,TRI_J,tubes,0.7129875408712127,0.9871075292076861,0.967391304347826,0.9858964509652252
4,BAL_J,bracket_black,0.18655439188319298,0.9738353427235479,0.7706117021276596,0.8592664381163516
4,BAL_J,bracket_brown,0.035509976319353556,0.920053292193632,0.5987933634992458,0.7345802416048117
4,BAL_J,bracket_white,0.09710997157201838,0.9970574967508469,0.8366666666666667,0.823692517782304
4,BAL_J,connector,0.32075358461232323,0.9735647450763134,0.830952380952381,0.6884581127136845
4,BAL_J,metal_plate,0.9068324172041452,0.9838051262884938,1.0,1.0
4,BAL_J,tubes,0.7220065575240155,0.9882100229652772,0.9664855072463768,0.9860884351185483
4,DUP_J,bracket_black,0.18031145880025276,0.9726147968096114,0.805186170212766,0.8785451388047631
4,DUP_J,bracket_brown,0.03664035844975138,0.8986660749845139,0.5558069381598794,0.6975675639472828
4,DUP_J,bracket_white,0.0956388400102652,0.9959780102214962,0.8033333333333333,0.7775293136935915
4,DUP_J,connector,0.36600844276065275,0.9744181010964927,0.9166666666666666,0.8233362599118903
4,DUP_J,metal_plate,0.8579556846474319,0.9726824924718734,1.0,1.0
4,DUP_J,tubes,0.7440802643152189,0.9894196576007471,0.9583333333333334,0.9832079924498316
4,DUP_BAL_J,bracket_black,0.18559149428133032,0.9740838470124177,0.7972074468085106,0.8699851276988307
4,DUP_BAL_J,bracket_brown,0.033952103093274184,0.9060588741282166,0.5731523378582202,0.7250777918550068
4,DUP_BAL_J,bracket_white,0.09536222826166875,0.9965490304092047,0.8244444444444444,0.7945923184318668
4,DUP_BAL_J,connector,0.37503957266484705,0.975297297457135,0.8976190476190476,0.800256192220478
4,DUP_BAL_J,metal_plate,0.8849814488088172,0.9796567608490621,1.0,1.0
4,DUP_BAL_J,tubes,0.7550403564694391,0.9903581521894629,0.9633152173913043,0.9851831501360326
4,DUP_EXPECTED_J,bracket_black,0.18031145880025276,0.9726147968096114,0.805186170212766,0.8785451388047631
4,DUP_EXPECTED_J,bracket_brown,0.03664035844975138,0.8986660749845139,0.5558069381598794,0.6975675639472828
4,DUP_EXPECTED_J,bracket_white,0.0956388400102652,0.9959780102214962,0.8033333333333333,0.7775293136935915
4,DUP_EXPECTED_J,connector,0.36600844276065275,0.9744181010964927,0.9166666666666666,0.8233362599118903
4,DUP_EXPECTED_J,metal_plate,0.8579556846474319,0.9726824924718734,1.0,1.0
4,DUP_EXPECTED_J,tubes,0.7440802643152189,0.9894196576007471,0.9583333333333334,0.9832079924498316
